Order Number,Customer Number,Store Number,Order Date,Delivery Method,Status,Total Amount,Loyalty Points Accrued
E0016348-0010236,0032700000fSCSyAAO,5875,2024-09-28 22:52:00,Pickup,Completed,179.00,9060
E0016348-0010118,0032700000QCNr3AAH,5765,2024-09-28 18:08:00,Shipping,Completed,48.00,8900
E0016348-0010050,0032700000K0wkPAAR,5545,2024-09-28 13:25:00,Shipping,Cancelled,450.00,0
E0016348-0010251,00327000003UKTnAAO,5985,2024-09-24 21:14:00,Shipping,Completed,195.00,20169
E0016348-0010092,0032700000uQddNAAS,5985,2024-09-24 14:12:00,Shipping,Completed,98.00,11400
E0016348-0010078,0032700000eWU7qAAG,4885,2024-09-23 23:52:00,Pickup,Completed,99.00,7860
E0016348-0010140,0032700000Ox0UNAAZ,5545,2024-09-23 18:54:00,Shipping,Cancelled,24.00,0
E0016348-0010200,0032700000Jgn0DAAR,5435,2024-09-22 19:59:00,Shipping,Cancelled,419.00,0
E0016348-0010080,0032700000sfbRhAAI,4665,2024-09-21 20:45:00,Pickup,Cancelled,170.00,0
E0016348-0010031,00327000007Zb54AAC,1365,2024-09-21 17:53:00,Pickup,Completed,189.00,8378
E0016348-0010012,0032700000HnLFWAA3,3455,2024-09-19 22:06:00,Shipping,Completed,189.00,8378
E0016348-0010028,003270000031lZtAAI,5105,2024-09-13 22:21:00,Pickup,Completed,540.00,37400
E0016348-0010054,0032700000UcmlhAAB,1475,2024-09-10 23:11:00,Pickup,Completed,430.00,29850
E0016348-0010128,0032700000JxfQhAAJ,5545,2024-09-10 20:07:00,Shipping,Completed,100.00,11402
E0016348-0010189,00327000004s4iVAAQ,5215,2024-09-10 14:44:00,Pickup,Completed,129.00,11528
E0016348-0010072,0032700000elh3mAAA,5105,2024-09-09 20:46:00,Shipping,Completed,510.00,21000
E0016348-0010157,0032700000iGDEUAA4,3565,2024-09-06 23:37:00,Shipping,Completed,65.00,6723
E0016348-0010148,0032700000m5TJAAA2,5435,2024-09-04 18:23:00,Shipping,Completed,179.00,9060
E0016348-0010136,0032700000nPDgQAAW,5985,2024-09-02 16:06:00,Pickup,Completed,105.00,13800
E0016348-0010003,0032700000igJw1AAE,2575,2024-09-02 14:27:00,Shipping,Completed,220.00,16000
E0016348-0010089,00327000004s4iVAAQ,5215,2024-08-31 14:04:00,Shipping,Completed,270.00,31800
E0016348-0010211,0032700000Ok8quAAB,1145,2024-08-30 12:01:00,Pickup,Completed,100.00,7865
E0016348-0010170,0032700000uQddNAAS,5985,2024-08-29 19:59:00,Shipping,Cancelled,48.00,0
E0016348-0010169,0032700000Xq1dfAAB,1145,2024-08-27 13:01:00,Pickup,Completed,169.00,9050
E0016348-0010133,0032700000Jgn0DAAR,5435,2024-08-26 18:50:00,Shipping,Completed,90.00,12300
E0016348-0010172,0032700000iHB5EAAW,5215,2024-08-24 23:37:00,Shipping,Completed,42.00,4390
E0016348-0010114,0032700000bs6RhAAI,1695,2024-08-24 17:26:00,Shipping,Completed,198.00,15720
E0016348-0010099,00327000003UKTnAAO,5985,2024-08-24 16:20:00,Pickup,Completed,30.00,3950
E0016348-0010237,00327000008TNkkAAG,3015,2024-08-20 15:48:00,Pickup,Completed,60.00,5800
E0016348-0010247,0032700000eWU7qAAG,4885,2024-08-20 13:50:00,Pickup,Completed,100.00,11402
E0016348-0010198,0032700000yTwMkAAK,6205,2024-08-19 17:33:00,Shipping,Completed,75.00,10000
E0016348-0010037,0032700000nPDgQAAW,5985,2024-08-16 22:50:00,Pickup,Completed,30.00,3950
E0016348-0010046,00327000004YVEEAA4,5765,2024-08-15 21:51:00,Shipping,Completed,599.00,18000
E0016348-0010166,003270000040oyjAAA,5545,2024-08-12 15:59:00,Pickup,Completed,240.00,16900
E0016348-0010024,003270000067svhAAA,1255,2024-08-11 16:13:00,Shipping,Completed,40.00,7136
E0016348-0010141,0032700000npcq2AAA,1915,2024-08-11 13:01:00,Shipping,Completed,120.00,18369
E0016348-0010231,0032700000JBKDsAAP,6205,2024-08-10 12:14:00,Shipping,Completed,867.00,37500
E0016348-0010081,0032700000iq02YAAQ,1255,2024-08-07 19:49:00,Shipping,Completed,540.00,27450
E0016348-0010115,00327000000agKxAAI,1475,2024-08-05 15:29:00,Shipping,Cancelled,350.00,0
